LOAN,MORTDUE,VALUE,YOJ,CLAGE,CLNO,DEBTINC
1100,25860,39025,10.5,94.36666667,9,
1300,70053,68400,7,121.8333333,14,
1500,13500,16700,4,149.4666667,10,
1500,,,,,,
1700,97800,112000,3,93.33333333,14,
1700,30548,40320,9,101.4660019,8,37.11361356
1800,48649,57037,5,77.1,17,
1800,28502,43034,11,88.76602988,8,36.88489409
2000,32700,46740,3,216.9333333,12,
2000,,62250,16,115.8,13,
2000,22608,,18,,,
2000,20627,29800,11,122.5333333,9,
2000,45000,55000,3,86.06666667,25,
2000,64536,87400,2.5,147.1333333,24,
2100,71000,83850,8,123,16,
2200,24280,34687,,300.8666667,8,
2200,90957,102600,7,122.9,22,
2200,23030,,19,,,3.7113123
2300,28192,40150,4.5,54.6,16,
2300,102370,120953,2,90.99253347,13,31.58850318
2300,37626,46200,3,122.2666667,14,
2400,50000,73395,5,,0,
2400,28000,40800,12,67.2,22,
2400,18000,,22,121.7333333,10,
2400,,17180,,14.56666667,4,
2400,34863,47471,12,70.49108003,21,38.26360073
2400,98449,117195,4,93.81177486,13,29.68182705
2500,15000,20200,18,136.0666667,19,
2500,25116,36350,10,276.9666667,9,
2500,7229,44516,,208,12,
2500,71408,78600,8,255.7333333,12,
2800,50795,63100,26,145.6333333,45,
2800,4000,60850,16,112.6333333,9,
2900,78600,113000,6,165.3333333,26,
2900,103949,112505,1,96.10232967,13,30.05113629
2900,104373,120702,2,101.5402975,13,29.91585903
2900,7750,67996,16,122.2046628,8,36.211348
2900,61962,70915,2,282.8016592,37,49.20639579
3000,104570,121729,2,85.8843719,14,32.05978327
3000,7000,20300,3,50.8,9,
3000,,8800,2,77.76666667,3,
3000,,33000,1,23.3,2,
3000,119826,193500,8,130.0333585,27,
3000,20000,29750,2,187.0666667,12,
3000,,14500,3,9.3,2,
3000,,14100,1,104.2,19,
3000,47000,82700,10,262.1666667,26,
3000,34542,45900,8.5,62.36666667,10,
3000,58000,71500,10,211.9333333,25,
3000,47000,56400,21,201.8666667,20,
3100,39589,36100,1.5,153.1666667,14,
3100,,70400,,,,
3200,67848,74566,10,206.4266021,25,40.11567728
3200,48603,61000,28,122.0333333,25,
3200,27200,40834,,298.131564,7,35.55353879
3200,54000,64850,1,121.8666667,21,
3200,74864,87266,7,250.6312692,12,42.90999735
3200,23159,,20,117.8057478,9,0.5244992154
3300,126541,134527,9,139,36,
3300,130518,164317,9,192.289149,33,35.73055919
3400,37000,52000,2,183.2999156,6,
3500,23200,38666,11,162.3666667,14,
3500,19400,20494,5,95.93333333,9,
3600,61584,61800,10,,,
3600,41900,52490,3,72.03333333,4,
3600,83700,111800,6,192.7333333,28,
3600,61327,76484,9,202.5107752,25,41.5163897
3600,100693,114743,6,88.47045214,14,29.39354338
3600,48507,61000,13,97.4,17,
3600,52337,63989,20,204.2724988,20,20.47091551
3700,17857,21144,5,129.7173231,9,26.63434752
3800,19135,97692,1.6,252.6333333,25,
3800,51180,63459,20,203.7515336,20,20.06704205
3800,,73189,,,,22.25394916
3800,11543,46045,,204.6479917,11,42.17316588
3900,29896,45960,11,146.1232422,14,24.47888119
3900,14500,22092,3.5,150.3,8,
3900,52825,63000,8,171.6666667,31,
3900,102143,118742,2,85.27736558,13,29.34392109
3900,21200,39000,4,86.56666667,14,
4000,105164,112774,1,94.72487417,13,29.39092806
4000,54543,61777,21,205.58668,19,21.80656346
4000,,80609,1.5,126.5333333,12,
4000,26572,31960,11,117.7951039,8,41.28649195
4000,17000,52012,22,85.33333333,9,
4000,29562,37200,6,92.13333333,26,
4000,41700,76725,0.5,136.1333333,15,
4000,58000,69440,3.5,168.6666667,18,
4000,5700,18000,,12.2,17,
4000,45000,58350,3.5,162,16,
4000,7000,16020,18,85.8,23,
4000,66000,79050,1.8,279,6,
4000,,45760,0,,0,
4000,62000,78000,4,109.5666667,15,
4000,64240,63990,5,160.3,23,
4000,74000,93000,2.6,186.6333333,9,
4000,55000,59000,12,146.1,22,
4000,67625,80698,11,212.3493039,25,39.12871763
